"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
1,1 - Altstadt Grossbasel,11,11 - St. Johann,5,14,9,6,9,9,13,10,8,12,Geschäftsviertel,115,Friedmatt,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,2,1,4,4,1,1,4,2,2,12,Geschäftsviertel,121,Theodor,1,0,1,0,0,0,1,0,1,1,1
1,1 - Altstadt Grossbasel,12,12 - Altstadt Kleinbasel,2,1,4,4,1,1,4,2,2,12,Geschäftsviertel,122,Klingental,0,0,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,1,1,5,3,0,1,3,2,6,12,Geschäftsviertel,131,Clarahof,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,13,13 - Clara,1,1,5,3,0,1,3,2,6,12,Geschäftsviertel,132,Claramatte,0,0,0,0,0,0,0,0,3,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,5,2,3,3,1,1,4,5,1,12,Geschäftsviertel,141,Rosengarten,2,0,0,0,0,0,2,0,0,1,1
1,1 - Altstadt Grossbasel,14,14 - Wettstein,5,2,3,3,1,1,4,5,1,12,Geschäftsviertel,142,Solitude,0,0,0,0,0,1,0,0,1,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,12,Geschäftsviertel,151,Eglisee,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,12,Geschäftsviertel,152,Kleinriehen-Nord,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,15,15 - Hirzbrunnen,0,4,0,1,0,1,0,0,2,12,Geschäftsviertel,153,Kleinriehen-Süd,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,12,Geschäftsviertel,160,Rosental,3,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,12,Geschäftsviertel,161,Messe,0,1,1,0,0,0,1,1,0,1,1
1,1 - Altstadt Grossbasel,16,16 - Rosental,4,7,4,3,3,4,2,2,5,12,Geschäftsviertel,162,Erlenmatt,0,0,0,0,0,3,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,171,Flora,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,172,Dreirosen,0,0,0,0,0,1,2,1,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,173,Haltingerstrasse,0,0,0,0,0,2,1,1,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,174,Bläsi,0,0,0,0,0,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,175,Am Riehenring,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,17,17 - Matthäus,4,7,14,2,10,8,7,13,6,12,Geschäftsviertel,176,Efringerstrasse,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,18,18 - Klybeck,1,0,2,0,2,0,5,3,1,12,Geschäftsviertel,180,Klybeck,1,0,0,0,1,0,3,0,1,1,1
1,1 - Altstadt Grossbasel,19,19 - Kleinhüningen,3,0,0,2,2,3,2,1,0,12,Geschäftsviertel,190,Kleinhüningen,0,0,0,1,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,201,Riehen-Dorf,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,202,Stettenfeld,0,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,203,Bischoffhöhe,0,1,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,204,Moos,0,0,0,0,0,0,0,0,1,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,205,Wenken,0,0,1,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,206,Kornfeld,0,0,0,0,0,1,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,207,Niederholz,0,1,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,20,20 - Riehen,3,8,6,2,0,2,3,3,2,12,Geschäftsviertel,208,Pfaffenloh,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,0,0,0,1,0,0,12,Geschäftsviertel,301,Bettingen-Dorf,0,0,0,0,0,0,1,0,0,1,1
1,1 - Altstadt Grossbasel,30,30 - Bettingen,0,0,0,0,0,0,1,0,0,12,Geschäftsviertel,302,Chrischona,0,0,0,0,0,0,0,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,13,Leonhard,11,Burgviertel,0,0,0,0,0,2,6,0,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,13,Leonhard,12,Geschäftsviertel,0,0,0,1,0,0,2,1,0,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,13,Leonhard,13,Leonhard,0,0,2,2,2,4,3,0,3,1,1
1,1 - Altstadt Grossbasel,1,1 - Altstadt Grossbasel,9,6,3,7,3,11,14,4,10,13,Leonhard,14,Peter,1,3,0,0,1,0,0,1,0,1,1
1,1 - Altstadt Grossbasel,2,2 - Vorstädte,0,9,6,7,10,11,13,12,9,13,Leonhard,21,St. Johann und Uni,0,0,0,0,0,0,1,0,1,1,1
