"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","origin_show","destination_show"
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,16,Rosental,0,3,2,0,0,4,0,0,3,0,6,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,5,St. Alban,1,0,1,4,1,3,0,1,4,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,11,St. Johann,1,3,0,4,3,1,1,3,5,2,6,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,2,Vorstädte,0,0,1,3,0,0,0,1,0,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aegypten,Aegypten,14,Wettstein,4,1,0,3,0,1,3,1,1,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,1,Altstadt Grossbasel,0,0,0,0,0,1,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,12,Altstadt Kleinbasel,0,0,0,0,0,0,0,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,3,Am Ring,0,0,1,0,0,0,3,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,8,Bachletten,0,0,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,30,Bettingen,0,0,0,1,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,4,Breite,0,0,0,0,0,0,1,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,7,Bruderholz,0,1,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,13,Clara,0,0,0,0,0,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,6,Gundeldingen,0,0,0,2,0,6,3,2,3,1,3,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,15,Hirzbrunnen,0,0,0,0,1,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,10,Iselin,0,0,0,0,0,0,2,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,17,Matthäus,0,0,0,3,0,1,3,1,1,0,1,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,5,St. Alban,0,0,0,0,0,0,0,0,1,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,11,St. Johann,0,0,0,0,0,0,1,0,0,0,4,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,2,Vorstädte,0,0,1,0,0,0,2,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Aethiopien,Aethiopien,14,Wettstein,0,0,0,1,0,0,0,0,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,12,Altstadt Kleinbasel,0,0,0,0,0,0,0,0,0,0,1,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,3,Am Ring,0,0,0,0,0,2,0,0,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,8,Bachletten,0,0,0,0,0,0,0,0,0,0,2,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,4,Breite,0,1,1,0,0,0,0,0,1,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,13,Clara,0,0,0,0,1,0,0,0,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,9,Gotthelf,0,0,0,0,0,0,0,0,0,1,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,6,Gundeldingen,0,0,0,2,4,6,10,2,3,2,3,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,15,Hirzbrunnen,0,0,0,0,0,0,0,0,0,0,2,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,10,Iselin,0,0,1,0,0,0,0,1,0,0,6,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,19,Kleinhüningen,0,0,0,0,0,0,0,1,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,17,Matthäus,0,0,0,0,1,0,4,9,2,0,22,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,20,Riehen,0,0,0,1,0,0,0,0,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,16,Rosental,0,0,1,0,0,1,0,0,0,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,5,St. Alban,0,0,0,0,0,0,0,0,0,0,1,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,11,St. Johann,0,0,0,0,0,0,0,0,1,0,0,1,1
105,AS - Asien,12,Basel-Stadt,573,733,761,961,996,987,1176,1137,1164,1066,1087,Afghanistan,Afghanistan,2,Vorstädte,0,0,3,0,2,3,0,2,0,1,2,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,1,Altstadt Grossbasel,0,0,0,0,0,0,0,1,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,12,Altstadt Kleinbasel,0,1,0,0,1,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,3,Am Ring,0,0,1,0,0,0,0,0,1,1,3,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,8,Bachletten,0,1,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,4,Breite,0,0,1,0,0,1,0,0,0,1,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,7,Bruderholz,0,1,0,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,9,Gotthelf,0,0,0,1,0,0,0,0,1,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,6,Gundeldingen,0,0,0,1,0,0,0,2,2,0,5,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,10,Iselin,0,0,2,0,0,1,0,2,3,0,3,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,19,Kleinhüningen,0,0,1,0,0,0,0,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,18,Klybeck,0,0,0,0,0,0,0,1,0,0,1,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,17,Matthäus,0,0,0,1,1,3,1,2,3,3,2,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,20,Riehen,0,0,0,1,0,0,1,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,16,Rosental,0,0,0,0,0,0,1,0,0,0,0,1,1
104,A - Afrika,12,Basel-Stadt,158,221,157,334,222,219,298,308,237,162,280,Algerien,Algerien,5,St. Alban,0,0,0,0,0,0,0,0,2,0,0,1,1
